class_name,run,timestamp,wall_clock_secs,total_cost_usd,sdk_turns,tool_Read,tool_Edit,tool_Bash,tool_Write,tool_Grep,tool_Glob,tool_Task,tool_mcp_validate_dfa,tool_mcp_verify_liquidjava,tool_mcp_generate_tests,tool_mcp_generate_refinements,total_tool_calls,total_tool_errors,spawn_protocol_analyzer,spawn_java_test_completer,spawn_liquidjava_spec_writer,spawn_liquidjava_verifier,total_agent_spawns,total_turns
abstractundoableedit,1,2026-03-10T17:48:10.458478+00:00,339.95,1.274606,5,19,1,14,1,1,1,4,1,1,1,1,45,2,1,1,1,1,4,51
abstractundoableedit,2,2026-03-10T17:52:39.055184+00:00,608.49,2.520858,2,17,3,5,1,0,1,4,1,2,0,1,35,1,1,1,1,1,4,44
abstractundoableedit,3,2026-03-10T17:57:29.269382+00:00,542.67,2.775826,2,31,1,0,2,0,1,4,1,2,0,0,42,1,1,1,1,1,4,52
abstractundoableedit,4,2026-03-10T17:57:16.634571+00:00,271.63,1.251536,5,26,0,16,2,2,2,4,1,1,1,1,56,4,1,1,1,1,4,62
abstractundoableedit,5,2026-03-10T18:03:09.592662+00:00,346.01,1.47883,5,37,3,11,2,3,5,4,2,2,1,1,71,0,1,1,1,1,4,77
bufferedinputstream,1,2026-03-10T18:02:12.566896+00:00,274.46,1.247872,5,23,0,12,2,4,3,4,1,1,1,1,52,2,1,1,1,1,4,58
bufferedinputstream,2,2026-03-10T18:10:09.011092+00:00,456.14,2.671701,5,142,1,9,2,4,6,4,1,2,1,1,173,1,1,1,1,1,4,179
bufferedinputstream,3,2026-03-10T18:10:40.233971+00:00,438.99,1.534032,5,32,2,18,1,1,1,4,1,2,1,1,64,2,1,1,1,1,4,70
bufferedinputstream,4,2026-03-10T18:16:15.648377+00:00,335.47,1.495657,5,25,0,12,3,4,5,4,2,1,1,1,58,0,1,1,1,1,4,64
bufferedinputstream,5,2026-03-10T18:15:50.055080+00:00,290.98,1.32882,6,24,0,14,3,0,2,4,2,1,1,1,52,1,1,1,1,1,4,60
bufferedreader,1,2026-03-10T18:21:02.890899+00:00,310.7,1.293027,6,26,4,18,2,0,1,4,2,1,1,1,60,0,1,1,1,1,4,67
bufferedreader,2,2026-03-10T18:28:13.534610+00:00,694.53,3.391008,5,97,4,26,4,11,4,4,2,6,1,1,160,2,1,1,1,1,4,166
bufferedreader,3,2026-03-10T18:34:15.689485+00:00,772.91,3.055063,5,35,11,24,9,1,8,4,7,14,1,1,115,2,1,1,1,1,4,121
